code,accountable_ptr_id,doc_date,start_date,end_date,monthly_dates
A6N-13N-62-S310^2021-12-01,A6N-13N-62-S310^2021-12-01,2021-12-01,2022-01-01,2022-01-31,"[datetime.date(2022, 1, 1)]"
A6N-13N-62-S310^2022-07-01,A6N-13N-62-S310^2022-07-01,2022-07-01,2022-07-01,,"[datetime.date(2022, 7, 1), datetime.date(2022, 8, 1)]"
A6N-13N-62-S311^2021-11-01,A6N-13N-62-S311^2021-11-01,2021-11-01,2022-01-01,,"[datetime.date(2022, 1, 1), datetime.date(2022, 2, 1), datetime.date(2022, 3, 1), datetime.date(2022, 4, 1), datetime.date(2022, 5, 1), datetime.date(2022, 6, 1), datetime.date(2022, 7, 1), datetime.date(2022, 8, 1)]"
A6N-13N-62-S312^2017-06-01,A6N-13N-62-S312^2017-06-01,2017-06-01,2022-01-01,,"[datetime.date(2022, 1, 1), datetime.date(2022, 2, 1), datetime.date(2022, 3, 1), datetime.date(2022, 4, 1), datetime.date(2022, 5, 1), datetime.date(2022, 6, 1), datetime.date(2022, 7, 1), datetime.date(2022, 8, 1)]"
A6N-13N-62-S314^2019-06-01,A6N-13N-62-S314^2019-06-01,2019-06-01,2022-01-01,,"[datetime.date(2022, 1, 1), datetime.date(2022, 2, 1), datetime.date(2022, 3, 1), datetime.date(2022, 4, 1), datetime.date(2022, 5, 1), datetime.date(2022, 6, 1), datetime.date(2022, 7, 1), datetime.date(2022, 8, 1)]"
A6N-13N-62-S315^2019-08-01,A6N-13N-62-S315^2019-08-01,2019-08-01,2022-01-01,2022-06-30,"[datetime.date(2022, 1, 1), datetime.date(2022, 2, 1), datetime.date(2022, 3, 1), datetime.date(2022, 4, 1), datetime.date(2022, 5, 1), datetime.date(2022, 6, 1)]"
A6N-13N-62-S317^2022-06-01,A6N-13N-62-S317^2022-06-01,2022-06-01,2022-06-03,,"[datetime.date(2022, 6, 3), datetime.date(2022, 7, 1), datetime.date(2022, 8, 1)]"
A6N-13N-62-S318^2021-08-01,A6N-13N-62-S318^2021-08-01,2021-08-01,2022-01-01,,"[datetime.date(2022, 1, 1), datetime.date(2022, 2, 1), datetime.date(2022, 3, 1), datetime.date(2022, 4, 1), datetime.date(2022, 5, 1), datetime.date(2022, 6, 1), datetime.date(2022, 7, 1), datetime.date(2022, 8, 1)]"
A6N-13N-62-S319^2021-08-01,A6N-13N-62-S319^2021-08-01,2021-08-01,2022-01-01,,"[datetime.date(2022, 1, 1), datetime.date(2022, 2, 1), datetime.date(2022, 3, 1), datetime.date(2022, 4, 1), datetime.date(2022, 5, 1), datetime.date(2022, 6, 1), datetime.date(2022, 7, 1), datetime.date(2022, 8, 1)]"
A6N-13N-62-S321^1996-08-13,A6N-13N-62-S321^1996-08-13,1996-08-13,2022-01-13,,"[datetime.date(2022, 1, 13), datetime.date(2022, 2, 13), datetime.date(2022, 3, 13), datetime.date(2022, 4, 13), datetime.date(2022, 5, 13), datetime.date(2022, 6, 13), datetime.date(2022, 7, 13), datetime.date(2022, 8, 13)]"
A6N-13N-62-S322^2021-01-01,A6N-13N-62-S322^2021-01-01,2021-01-01,2022-01-01,,"[datetime.date(2022, 1, 1), datetime.date(2022, 2, 1), datetime.date(2022, 3, 1), datetime.date(2022, 4, 1), datetime.date(2022, 5, 1), datetime.date(2022, 6, 1), datetime.date(2022, 7, 1), datetime.date(2022, 8, 1)]"
A6N-13N-66^2019-04-01,A6N-13N-66^2019-04-01,2019-04-01,2022-01-01,,"[datetime.date(2022, 1, 1), datetime.date(2022, 2, 1), datetime.date(2022, 3, 1), datetime.date(2022, 4, 1), datetime.date(2022, 5, 1), datetime.date(2022, 6, 1), datetime.date(2022, 7, 1), datetime.date(2022, 8, 1)]"
A6N-13N-68^1999-02-01,A6N-13N-68^1999-02-01,1999-02-01,2022-01-01,,"[datetime.date(2022, 1, 1), datetime.date(2022, 2, 1), datetime.date(2022, 3, 1), datetime.date(2022, 4, 1), datetime.date(2022, 5, 1), datetime.date(2022, 6, 1), datetime.date(2022, 7, 1), datetime.date(2022, 8, 1)]"
