class,code,name
PUC,171044,"publicidad, propaganda y avisos"
PUC,171048,elementos de aseo y cafeteria
PUC,171052,moldes y troqueles
PUC,171056,instrumental quirurgico
PUC,171060,dotacion y suministro a trabajadores
PUC,171064,elementos de roperia y lenceria
PUC,171068,loza y cristaleria
PUC,171072,descuento en colocacion de bonos
PUC,171076,"impuesto de renta diferido ""debitos"" por diferencias"
PUC,171080,concursos y licitaciones
PUC,171095,otros
PUC,171099,ajustes por inflacion
PUC,1715,costos de exploracion por amortizar
PUC,171505,pozos secos
PUC,171510,pozos no comerciales
PUC,171515,otros costos de exploracion
PUC,171599,ajustes por inflacion
PUC,1720,costos de explotacion y desarrollo
PUC,172005,perforacion y explotacion
PUC,172010,perforaciones campos en desarrollo
PUC,172015,facilidades de produccion
PUC,172020,servicio a pozos
PUC,172099,ajustes por inflacion
PUC,1730,cargos por correccion monetaria diferida
PUC,1798,amortizacion acumulada
PUC,179805,costos de exploracion por amortizar
PUC,179810,costos de explotacion y desarrollo
PUC,179899,ajustes por inflacion
PUC,18,otros activos
PUC,1805,bienes de arte y cultura
PUC,180505,obras de arte
PUC,180510,bibliotecas
PUC,180595,otros
PUC,180599,ajustes por inflacion
PUC,1895,diversos
PUC,189505,maquinas porteadoras
PUC,189510,bienes entregados en comodato
PUC,189515,amortizacion acumulada de bienes entregados en comodato (cr)
PUC,189520,bienes recibidos en pago
PUC,189525,derechos sucesorales
PUC,189530,estampillas
PUC,189595,otros
PUC,189599,ajustes por inflacion
PUC,1899,provisiones
PUC,189905,bienes de arte y cultura
PUC,189995,diversos
PUC,19,valorizaciones
PUC,1905,de inversiones
PUC,190505,acciones
PUC,190510,cuotas o partes de interes social
PUC,190515,derechos fiduciarios
PUC,1910,de propiedades planta y equipo
PUC,191004,terrenos
PUC,191006,materiales proyectos petroleros
PUC,191008,construcciones y edificaciones
PUC,191012,maquinaria y equipo
PUC,191016,equipo de oficina
PUC,191020,equipo de computacion y comunicacion
PUC,191024,equipo medico cientifico
PUC,191028,equipo de hoteles y restaurantes
PUC,191032,flota y equipo de transporte
PUC,191036,flota y equipo fluvial y/o maritimo
PUC,191040,flota y equipo aereo
PUC,191044,flota y equipo ferreo
PUC,191048,acueductos plantas y redes
PUC,191052,armamento de vigilancia
PUC,191056,envases y empaques
PUC,191060,plantaciones agricolas y forestales
PUC,191064,vias de comunicacion
PUC,191068,minas y canteras
PUC,191072,pozos artesianos
PUC,191076,yacimientos
PUC,191080,semovientes
PUC,1995,de otros activos
PUC,199505,bienes de arte y cultura
PUC,199510,bienes entregados en comodato
PUC,199515,bienes recibidos en pago
PUC,199520,inventario de semovientes
PUC,2,pasivo
PUC,21,obligaciones financieras
PUC,2105,bancos nacionales
PUC,210505,sobregiros
PUC,210510,pagares
PUC,210515,cartas de credito
PUC,210520,aceptaciones bancarias
PUC,2110,bancos del exterior
PUC,211005,sobregiros
PUC,211010,pagares
PUC,211015,cartas de credito
PUC,211020,aceptaciones bancarias
PUC,2115,corporaciones financieras
PUC,211505,pagares
PUC,211510,aceptaciones financieras
PUC,211515,cartas de credito
PUC,2120,compañias de financiamiento comercial
PUC,212005,pagares
PUC,212010,aceptaciones financieras
PUC,2125,corporaciones de ahorro y vivienda
PUC,212505,sobregiros
PUC,212510,pagares
PUC,212515,hipotecarias
PUC,2130,entidades financieras del exterior
PUC,2135,compromisos de recompra de inversiones negociadas
PUC,213505,acciones
PUC,213510,cuotas o partes de interes social
PUC,213515,bonos
PUC,213520,cedulas
PUC,213525,certificados
PUC,213530,papeles comerciales
PUC,213535,titulos
PUC,213540,aceptaciones bancarias o financieras
PUC,213595,otros
PUC,2140,compromisos de recompra de cartera negociada
PUC,2145,obligaciones gubernamentales
PUC,214505,gobierno nacional
PUC,214510,entidades oficiales
PUC,2195,otras obligaciones
PUC,219505,particulares
PUC,219510,compañias vinculadas
PUC,219515,casa matriz
PUC,219520,socios o accionistas
PUC,219525,fondos y cooperativas
PUC,219595,otras
PUC,22,proveedores
PUC,2205,nacionales
PUC,2210,del exterior
PUC,2215,cuentas corrientes comerciales
PUC,2220,casa matriz
PUC,2225,compañias vinculadas
PUC,23,cuentas por pagar
PUC,2305,cuentas corrientes comerciales
PUC,2310,a casa matriz
PUC,2315,a compañias vinculadas
PUC,2320,a contratistas
PUC,2330,ordenes de compra por utilizar
PUC,2335,costos y gastos por  pagar
PUC,233505,gastos financieros
PUC,233510,gastos legales
PUC,233515,"libros, suscripciones, periodicos y revistas"
PUC,233520,comisiones
PUC,233525,honorarios
PUC,233530,servicios tecnicos
PUC,233535,servicios de mantenimiento
PUC,233540,arrendamientos
PUC,233545,"transportes, fletes y acarreos"
PUC,233550,servicios publicos
PUC,233555,seguros
PUC,233560,gastos de viaje
PUC,233565,gastos de representacion y relaciones publicas
PUC,233570,servicios aduaneros
PUC,233595,otros
PUC,2340,instalamentos por pagar
PUC,2345,acreedores oficiales
PUC,2350,regalias por pagar
PUC,2355,deudas con accionistas o socios
PUC,235505,accionistas
PUC,235510,socios
PUC,2360,dividendos o participaciones por pagar
PUC,236005,dividendos
PUC,236010,participaciones
PUC,2365,retencion en la fuente
PUC,236505,salarios y pagos laborales
PUC,236510,dividendos y/o participaciones
PUC,236515,honorarios
PUC,236520,comisiones
PUC,236525,servicios
PUC,236530,arrendamientos
PUC,236535,rendimientos financieros
PUC,236540,compras
PUC,236545,"loterias, rifas, apuestas y similares"
