country,region,city,street_type,street_number,street_letter,street_bis,street_bis_complement,street_coordinates,numeral_number,numeral_letter,numeral_coordinates,height_number,interior_group_type,interior_group_code,interior_type,interior_code
Colombia,Valle del Cauca,Cali,2,2,2,FALSE,-9999,-9999,30,-9999,-9999,27,-9999,ZZZZZ,-9999,ZZZZZ
Colombia,Valle del Cauca,Cali,2,2,2,FALSE,-9999,-9999,30,-9999,-9999,29,-9999,ZZZZZ,-9999,ZZZZZ
Colombia,Valle del Cauca,Cali,2,2,2,FALSE,-9999,-9999,30,-9999,-9999,51,-9999,ZZZZZ,-9999,ZZZZZ
Colombia,Valle del Cauca,Cali,2,2,2,FALSE,-9999,-9999,29,-9999,-9999,36,-9999,ZZZZZ,-9999,ZZZZZ
Colombia,Valle del Cauca,Cali,0,11,-9999,FALSE,-9999,0,7,-9999,0,201,-9999,ZZZZZ,0,103
Colombia,Valle del Cauca,Cali,0,11,-9999,FALSE,-9999,0,7,-9999,0,201,-9999,ZZZZZ,4,28
Colombia,Valle del Cauca,Cali,0,11,-9999,FALSE,-9999,0,7,-9999,0,201,-9999,ZZZZZ,4,29
Colombia,Valle del Cauca,Cali,0,11,-9999,FALSE,-9999,0,7,-9999,0,201,-9999,ZZZZZ,4,61
Colombia,Valle del Cauca,Cali,0,11,-9999,FALSE,-9999,0,7,-9999,0,201,-9999,ZZZZZ,5,22
Colombia,Valle del Cauca,Cali,1,3,-9999,FALSE,-9999,3,2,-9999,-9999,136,-9999,ZZZZZ,4,14
Colombia,Valle del Cauca,Cali,1,3,-9999,FALSE,-9999,3,2,-9999,-9999,140,-9999,ZZZZZ,0,301
